Ticker,Company,Sector,Z_Score,Zone,X1_Liquidity,X2_Profitability,X3_Efficiency,X4_Leverage,X5_Asset_Use,Market_Cap_Cr
JPASSOCIAT.NS,Jaiprakash Associates Limited,Industrials,-0.712,Distress,0.192,-0.637,-0.049,0.015,0.101,594.0
TATASTEEL.NS,Tata Steel Limited,Basic Materials,1.855,Grey,-0.081,0.132,0.077,1.25,0.764,246768.0
RELIANCE.NS,Reliance Industries Limited,Energy,1.997,Grey,0.024,0.213,0.068,1.602,0.485,1749748.7
WIPRO.NS,Wipro Limited,Technology,4.291,Safe,0.298,0.518,0.128,3.556,0.653,188986.8
TCS.NS,Tata Consultancy Services Limited,Technology,10.28,Safe,0.41,0.548,0.366,10.583,1.464,782013.4
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,11.52,Safe,0.044,0.097,0.178,16.574,0.8,509579.4
INFY.NS,Infosys Limited,Technology,414.202,Safe,0.328,0.818,0.277,684.206,1.226,451986.3
NESTLEIND.NS,Nestlé India Limited,Consumer Defensive,,Distress,,,,,,265278.2
ONGC.NS,Oil and Natural Gas Corporation Limited,Energy,,Distress,-0.034,,0.102,0.81,0.836,309726.5
NTPC.NS,NTPC Limited,Utilities,,Distress,-0.04,,0.073,0.988,0.335,343165.0
IDEA.NS,Vodafone Idea Limited,Communication Services,,Distress,-0.093,,0.292,0.71,0.234,161431.1
